id;nome;youtube;phone;mail;web;facebook;twitter;descrizione;indirizzo;num_immagini;categoria;googlemap;citta;cap;provincia;servizi;altri_servizi;orari
34;L'OFFICINA DEI SAPORI;;039 2754029;info@lofficinadeisapori.com;www.lofficinadeisapori.com;www.facebook.com/lofficinadeisaporibiassono;;"L'Officina dei Sapori, con le sue tre salette intime ed accoglienti, vuole essere un luogo dove poter trascorrere piacevoli momenti in compagnia degli amici, della famiglia  o della persona amata tra le deliziose proposte gastronomiche.
Ma vuole essere anche il ristorante ideale per pranzi o cene d'affari garantendo la privacy.
Si propone di offrire un servizio attento, ma mai invadente con il calore, la familiarità e la professionalità dello staff. L'ambiente, tutto a travi e mattoncini a vista con decorazioni moderne a contrasto, si arrichisce, durante la bella stagione, di uno spazio all'aperto nel cortile di proprietà capace di ospitare circa venti coperti.
";piazza San Francesco, 24;1;ristorante;https://maps.google.com/?daddr=45.631277,9.275556;Biassono;20853;MB;Animali Ammessi;;"Pranzo: 12.30 - 14.30
Cena: 20.00 - 24.00
Chiuso:
lunedì a cena 
martedì tutto il giorno
sabato a pranzo
domenica a cena
"
35;L'OSTERIA ROSSO DI SERA;;0396902555;paolo@osteria-rossodisera.it;www.osteria-rossodisera.it;;;"Cucina tipica regionale rivisitata e creativa
 
";Via Cavour, 18/20;1;ristorante;https://maps.google.com/?daddr=45.648156,9.407913;Bernareggio;20881;MB;Accesso Disabili,Animali Ammessi;Parcheggio vicino, accetta pagamenti Bancomat e carte di credito, ma non ticket.;"Pranzo
da lunedi a domenica
12.00 - 14.30
Cena
da giovedì a domenica
19.30 - 24.00
 
"
36;LA DAMA DI BACCO;;0362 909931 - 3469825649;info@ladamadibacco.com;www.ladamadibacco.com;;;"La Dama di Bacco a Carate Brianza offre una cucina con prodotti ricercati e di notevole qualità. Da provare la carne alla griglia e le specialità toscane. Il locale a conduzione familiare è accogliente e informale, perfetto per la pausa pranzo e per cene ed eventi aziendali.
 
 
Photo credits Osteria e Pizzeria La Dama di Bacco
";via Trento Trieste, 18;2;ristorante;https://maps.google.com/?daddr=45.677160,9.242950;Carate Brianza;;MB;;Cantina di nicchia; prodotti per celiaci e intolleranti al latte;"Lunedì e da mercoledì a domenica:
12:00 - 15:00 / 19:00 - 00:00
Martedì chiuso, escluso festività
"
37;LA FATA VERDE;;039 6893110;ristorante@lafataverde.it;www.lafataverde.it;https://it-it.facebook.com/lafataverdecocktailbar;;"Il locale è inserito nel volume di un vecchio cascinotto una volta utilizzato dai contadini come ricovero di legna, attrezzi e carretti.
La cucina è guidata da Roberto Andreoni ed è di tipo espresso, con piatti preparati sul momento partendo da materie prime selezionate per qualità e provenienza.
I piatti tipici della cucina milanese e brianzola sono affiancati da reinterpretazioni creative dello chef e proposte moderne consone al contesto metropolitano in cui si inserisce il locale e alla clientela internazionale che lo frequenta.
";Via Talete, 2A;1;ristorante;https://maps.google.com/?daddr=45.563169,9.324008;Agrate Brianza;20864;MB;Bar/Lounge,Parcheggio;;"Aperto tutti i giorni
dalle 12.00 alle 15.00 e dalle 19.30 alle 24.00
Chiuso il lunedì a cena e il sabato a pranzo 
 
"
38;LA GRIGLIATA DI BELLA EUROPA;;039 792892;;lagrigliatadibellaeuropa.com;;;"A pochi chilometri da Milano una sala confortevole dove puoi gustare i nostri migliori piatti e il pesce freschissimo che arriva tutti i giorni nelle nostre cucine. La nostra cantina di vini è stata selezionata per accompagnare al meglio i tuoi piatti preferiti.
 
Photo credits La Grigliata di Bella Europa
";Via Europa, 33;2;ristorante,pizzerie;https://maps.google.com/?daddr=45.588065,9.227264;Muggiò;;MB;;;"lunedì: 10.30 - 15.00
da martedì a domenica
10.30 - 15.00  /  18.00 - 24.00
"
39;LA LAMPARA;;0392026547;lalampara@lalamparamonza.it;http://www.lalamparamonza.it/;www.facebook.com/lalamparamonza/;;"La Lampara rappresenta il perfetto equilibrio della cucina italiana. Dalla pizza ai piatti di pesce e carne.
";Via Mentana, 29;1;ristorante,pizzerie;https://maps.google.com/?daddr=45.577725,9.279383;Monza;;MB;;;"10.00 - 15.00 / 18.00 - 23.00
Sabato chiusura alle 00.00
Chiuso il mercoledì
"
40;LANTERNA BISTROT;;0362 341241;;lanternabistrot1995.business.site;;;"Ristorante La Lanterna dal 1995.
 
Photo credits Lanterna Bistrot
";Via Ticino, 11;1;ristorante;https://maps.google.com/?daddr=45.652544,9.167359;Meda;;MB;;;"lunedì e martedì
12.00 - 14.00
da mercoledì a sabato
12.00 - 14.00  /  19.00 - 23.00
domenica
19.00 - 23.00
"
41;LIV ARMONIE DI GUSTO;;347 5650725;gianni.zitiello@gmail.com;www.ristorantelivlaca.com;;;"Il ristorante LIV Armonie di Gusto vi farà sognare con i tantissimi piatti gustosi e l’atmosfera confortevole. Soprattutto nelle giornate di sole, il nostro bello spazio all’aperto è molto invitante. Siamo famosi per le nostre fantastiche ricette locali e per le nostre ricette tipiche.
";Via XXIV Maggio, 54;2;ristorante,gastronomie;https://maps.google.com/?daddr=45.630969,9.304821;Lesmo;20855;MB;Accesso Disabili,Animali Ammessi,Parcheggio,WI-FI;Aria condizionata, consegna a domicilio, eventi;"da lunedì a domenica
11.30 - 14.30  /  19.00 - 22.30
Chiuso il martedì
"
42;LOCANDA DELL'ERBA MATTA;;03 62915987 – 328 6298963;info@locandadellerbamatta.it;www.locandadellerbamatta.it;www.facebook.com/Locanda-dellErba-Matta-172453126166568/timeline/;;"Una cucina di piatti semplici ma estremamente curati nella scelta delle materie prime e nella loro preparazione: ricette che vengono dal passato ma sono l'ideale ponte tra l'oggi e il domani.
 
Photo credits Locanda dell'Erba Matta
 
";Via Camisasca, 2;2;ristorante;https://maps.google.com/?daddr=45.720017,9.276140;Renate;20055;MB;Accesso Disabili,Accetta Bancomat/Carta di Credito/Ticket,Animali Ammessi,Parcheggio,WI-FI;"take away
";"Chiuso
lunedì
martedì sera
sabato a mezzogiorno
domenica sera
 
"
43;MEXICALI;;039 2050895;villasanta@mexicali.it;www.mexicali.it;;;"Situato in una strategica posizione nei pressi del Parco di Monza è facilmente raggiungibile sia dalla Brianza che dall’hinterland di Milano.
Fastoso ed imponente, dall’aspetto molto californiano, curato negli arredi, il ristorante è attrezzato con uno splendido american bar.
Vi si accede attraverso una grande scalinata holliwoodiana che dal parcheggio conduce all’ingresso del locale. Un grande patio ed un lussureggiante giardino in grado di accogliervi nelle calde sere d’estate vi attendono in fondo alla scala. Di fianco l’entrata nella sala. Entrate in un magnifico salotto situato di fronte al grande bancone del bar. Mentre aspettate che vi accompagnino al tavolo potete godervi un eccellente aperitivo preparato da mani esperte.
Un grande salone vi attende, assolutamente fastoso ed elegante, dove poter assaporare piatti di una cucina curata e farvi tentare da piatti nuovi e sempre sorprendenti.
";via Leonardo da Vinci, 31;2;ristorante;https://maps.google.com/?daddr=45.615443,9.311020;Villasanta;20852;MB;;Asporto, consegna a domicilio;"da lunedì a giovedì e domenica
19.00 - 24.00
venerdì e sabato
19.00 - 2.00
"
44;NIKKY SUSHI;;039 9635410;info@nikkysushi.com;www.nikkysushi.com;www.facebook.com/Nikkysushi/;;"Atmosfere moderne nel cuore antico di Monza, ingredienti di qualità e un menù agile e selezionato. Nikky è un progetto nuovo che ti propone una pausa di buon gusto in centro città.
Nikky Sushi. Cucina giapponese in uno degli angoli più caratteristici di Monza, in riva al Lambro.
";Via Spalto Santa Maddalena, 20;4;ristorante;https://maps.google.com/?daddr=45.582714,9.276904;Monza;20900;MB;;;"da martedì a domenica
dalle 12.30 alle 14.30 
dalle 19.00 alle 23.00
"
45;ORSO BRUNO STEAK-HOUSE PIZZERIA;;039 320965;info@orsobruno.com;www.orsobruno.com;https://www.facebook.com/ristoranteorsobruno/;;"Vicino al centro e a due passi dal Parco di Monza, il Ristorante, Pizzeria & SteakHouse OrsoBruno vi accoglie con calore e simpatia per una rilassante pausa pranzo o una piacevole serata tra amici.
L’atmosfera famigliare che si respira entrando, la cortesia del personale sono elementi che fanno sentire a casa tutti coloro che lo frequentano. Ricco di particolari e caratterizzato da diverse sale più la verde veranda, presenta una serie di specialità gastonomiche, dalla carne alle numerose pizze, di primi, nonchè insalate classiche, particolari e calde.
";via Lecco, 68;3;ristorante,pizzerie;https://maps.google.com/?daddr=45.589873,9.287460;Monza;;MB;;;
46;OSTERIA CONTADINA VERDENERO;;0362 906646; info@verdenero.com;https://verdenero.net/;;;"L’Osteria Verdenero nasce dall’idea di portare in tavola la qualità e la tradizione del nostro territorio. Gli indredienti provengono direttamente dalle aziende agricole della zona e creano un menù sempre diverso, per celebrare ciò che la natura ci offre di stagione in stagione.
Osteria non è solo pranzo e cena, ma anche break mattutino o aperitivo. Per un calice della attenta selezione di più di 150 vini o una birra artigianale creata per noi, per un caffè biologico o una tisana, per una fetta di torta o una fetta di salame.
 
 
 
Photo credits osteriaverdenero
";v.le Mosé Bianchi, 53;2;ristorante;https://maps.google.com/?daddr=45.666040,9.247380;Carate Brianza;;MB;;Vendita diretta; eventi;"Lunedì, martedì e domenica:
12.00 - 14.30
Da mercoledì a sabato:
12.00 - 14.30  / 19.00 - 22.00
"
47;OSTERIA DEL CAVOLO;;039322060;info@osteriadelcavolo.it;www.osteriadelcavolo.it;https://www.facebook.com/Osteria-del-Cavolo-455816671139009/;;" Il locale  comprende una sala che si snoda lungo il pian terreno ed un'altra al primo piano, molto ridotta adatta per incontri intimi e per cene particolari. Dovunque si respira un'aria piacevole e pure gli arredi e l'ambiente, di un colore verde delicato, danno una sensazione di freschezza. La cucina si ispira volentieri alla tradizione lombarda ma non solo: gli antipasti, vere e proprie ghiottonerie, come il “Tomino della Valsassina grigliato su corona di soncino, pinoli e uvetta sultanina con aceto di lamponi”; “Tagliere di salumi lombardi e “sciatt” della Valtellina caldi” oppure dell'insalata di germogli di soia, fagioli occhio nero e polpa di granchio con citronette all'aneto; poi ci sono i “Pizzoccheri”, interamente fatti a mano come vuole la tradizione. Presenza in sala di un  sommelier. Cantina ampia, dato che sono presenti oltre 120 etichette nazionali ed internazionali. Il vino è disponibile anche ""al bicchiere"". 
 
";vicolo dei Molini, 11;2;ristorante;https://maps.google.com/?daddr=45.582870,9.276590;Monza;;MB;;servizio a domicilio;"lun - domenica 
12.15 - 14.30
19.45 - 22.30
chiuso la domenica sera
"
48;OSTERIA DEL DOSSO;;039 5962613;miticochef@yahoo.com;https://www.aldossomonza.it/;https://www.facebook.com/osteriadeldossomonza/;;"L’osteria propone piatti tipici della Brianza e cucina Italiana in genere, carni alla griglia, insalate e piatti freddi. 80 posti al coperto e oltre 100 all'esterno nell'area verde delimitata dalla roggia. Ingresso pedonale dal parcheggio di via Deledda a Villasanta.
";Via Grazia Deledda;4;ristorante,trattorie,pub;https://maps.google.com/?daddr=45.607910,9.299530;Villasanta;20900;MB;Accesso Disabili,Accetta Bancomat/Carta di Credito/Ticket,Animali Ammessi,Aree per Gruppi,Monza Bike Friendly,Parcheggio;;"09.00 – 24.00 tutti i giorni 
"
49;OSTERIA DELLA BUONA CONDOTTA;;039 6919056;prenotazione@buonacondotta.com;www.buonacondotta.com;https://it-it.facebook.com/osteriabuonacondotta;;"Ristorante situato in un cascinale d’inizio novecento, nel cuore della Brianza, circondato da un Terroir ricco di prelibatezze, dove la cucina e i vini scaldano il cuore di ogni commensale.
L’Osteria della Buona Condotta nasce dalla profonda passione per la ristorazione di Nicoletta e Matteo Scibilia, una coppia affiatata con l’ospitalità nel sangue.
Con un elevato rispetto per la materia prima e per l’identità del territorio, a tavola Matteo predilige i piatti della cucina lombarda che raccontano una storia di tradizione in continua evoluzione.
";via Cavenago, 2;1;ristorante;https://maps.google.com/?daddr=45.596128,9.416748;Ornago;20060;MB;Accetta Bancomat/Carta di Credito/Ticket,Animali Ammessi,Parcheggio;Take away ;"da martedì a sabato
12.30 – 14.30  /  19.30 – 22.30
domenica
12.30 – 14.30 
"
50;OSTERIA MAGENTA 7;;039 2302424;osteriamagenta7@gmail.com;www.osteriamagenta.it;www.facebook.com/osteriamagenta7/;;"L’Osteria Magenta 7 nasce dall’intento, da parte dello chef Antonello, di far riscoprire ai suoi ospiti i sapori della tradizione contadina italiana, rivisitando le ricette lombarde, piemontesi e venete che meglio si accompagnano alla polenta, considerata regina della tavola ai tempi dei nostri nonni e bis nonni ed ormai quasi dimenticata. A riscoprire le potenzialità di un vecchio laboratorio in disuso, ci hanno pensato la moglie Federica, architetto, e i tanti amici che con i loro consigli ed aiuti, hanno contribuito a realizzare un ambiente elegante ed accogliente, con qualche nota di originalità, che ben si sposa alla cucina dello chef.
Lieti di farvi sentire come a casa Vostra.
Buon appetito.
 
";via Magenta, 7;2;ristorante,trattorie;https://maps.google.com/?daddr=45.579832,9.269659;Monza;20900;MB;Accesso Disabili,Accetta Bancomat/Carta di Credito/Ticket,Animali Ammessi;;"Tutti i giorni
12.00 - 14.30 / 19.00 -22.30 
Chiusure
Lunedì tutto il giorno e martedì a cena
"
51;OSTERIA OSS BUS;;0362 1705528;info@ossbus.com;www.ossbus.com;www.facebook.com/osteriaossbus/;;"Oss Bus nasce nel settembre 2007 dall’esperienza e dalla passione per la cucina di Paolo. Situata nel cuore della Brianza, al centro di Meda, l’Osteria offre un ambiente accogliente e familiare per gustare piatti tipici della tradizione italiana e soprattutto brianzola.
L’Osteria non dimentica la tradizione del territorio nel quale sorge, narrandola attraverso i propri piatti e le antiche fotografie che danno vita ad un’atmosfera calda ed accogliente, adatta a pranzi di lavoro, cene di famiglia e mangiate con amici. 
 
";Vicolo Comunale, 4;1;ristorante;https://maps.google.com/?daddr=45.662429,9.156343;Meda;20821;MB;;Asporto e consegna a domicilio;"Pranzo 12.00 - 14.30
Cena 19.00 - 22.30
Chiuso il martedì tutto il giorno e il sabato a pranzo
"
52;OSTERIA ROBEBUONE;;039 666521;info@robebuone.it;www.robebuone.it;www.facebook.com/robebuone/;;"L’Osteria Robebuone nasce con l’intento di proporre in Brianza le eccellenze italiane nel campo dei salumi (accompagnati rigorosamente dal gnocco fritto) e dei formaggi, da gustare con svariati tipi di confetture, miele, composte, gelatine e da una delicatissima selezione di mostarde mantovane (melone, fichi, mele, ciliege, pere, zucca, pomodorini).
La cucina, inoltre, propone tutto l’anno diversi e gustosi antipasti prodotti con materie prime di stagione. E poi originali insalate e il Carpaccio celtico di Chianina.
Il carrello dei dolci è sempre ricco di originali proposte, realizzate rigorosamente dai nostri chef.
Circa sessanta le etichette dei vini, tra rossi, bianchi e rosè.
 
";Via Borromeo, 5;1;ristorante;https://maps.google.com/?daddr=45.617356,9.353130;Vimercate (Oreno);20871;MB;;Catering, enoteca, corsi di degustazione;"Pranzo
sabato e domenica, dalle 12.30
Cena 
da mecoledì a domenica, dalle 19.30
 
"
53;OSTERIA SAN GIUSEPPE RISTORANTE - PIZZERIA - LOCANDA;; 02 9663157 - 347 0856969;osteriasangiuseppe@gmail.com;www.osteriasangiuseppe.it;;;"L’Osteria S. Giuseppe nasce nel 2005. Non è semplicemente un ristorante, è un luogo caldo e accogliente, dove ogni dettaglio è pensato per farti sentire a casa. Un posto speciale, dove ritrovarsi, incontrarsi con gli amici, concedersi una pausa di qualità, all'insegna di sapori autentici e avvolgenti. Qui potrai assaporare le migliori specialità di terra e di mare, pizza inclusa, nel rispetto delle stagioni e della cultura enogastronomica italiana.
 
Photo credits Osteria S. Giuseppe
";via Primo Maggio, 1;1;ristorante,pizzerie,trattorie;https://maps.google.com/?daddr=45.613675,9.001253;Ceriano Laghetto;;MB;;Accetta bancomat / carte di credito ;"Pranzo: 12.00 - 14.00
Cena: 19.00 - 22.30
Chiuso la domenica sera e il lunedì per l'intera giornata
"
54;PIZZERIA RISTORANTE LA RUSTICA;;0362 501045                        334 8684366;;www.larusticapizzeria.it;;;"Storica pizzeria e ristorante di Seveso, gestita a livello familiare da 25 anni. 
Ristorante pizzeria con forno a legna, anche da asporto. 
Possibilità di organizzare colazioni di lavoro, ricevimenti e cerimonie. 
";Corso Garibaldi, 53;2;ristorante,pizzerie;https://maps.google.com/?daddr=45.644692,9.135564;Seveso;20822;MB;Parcheggio;Servizio d'asporto;"Aperto tutti i giorni
12.00 - 14.30  /  18.00 - 00.30
Chiuso il mercoledì
"
55;POMIROEU GIANCARLO MORELLI;;0362 237973;info@pomiroeu.it ;www.pomiroeu.com;www.facebook.com/pomiroeu;;"Il Pomiroeu Giancarlo Morelli è il Ristorante della Brianza, situato in un'antica corte, un piccolo angolo di quiete, un ristorante classico e allo stesso tempo contemporaneo, dall’atmosfera elegante ed accogliente.
La sua originaria denominazione deriva dal dialetto locale e significa “pometo”, nome con cui un tempo si indicava la zona di Seregno che ospitava ricche coltivazioni di mele.
Dal 1993 il Pomiroeu ha iniziato una nuova avventura con Alessandra e Giancarlo che hanno contribuito con impegno e tanta passione alla progressiva innovazione. Il locale, pur mantenendo fede alla tradizione e ai sapori autentici di una volta, ha saputo rinnovarsi cogliendo i trend piu attuali che hanno condizionato il mondo della ristorazione.
La proposta gastronomica è variegata e segue l’ispirazione dello Chef. Attraverso ingredienti semplici, freschi e spontanei, generiamo sapori che parlano delle nostre origini e del nostro ambiente formando così un anello di retroazione mediata da ecologia, necessità, e appetito.
";Via Garibaldi, 37;1;ristorante;https://maps.google.com/?daddr=45.650930,9.203486;Seregno;20831;MB;;Take away, delivery;"Aperto da mercoledì a domenica
a pranzo e a cena
"
56;PREGO;;039 6880073;bellini64.a@alice.it;;www.facebook.com/Prego-caf%C3%A9-pizza-restaurant-120109244695492/?ref=page_internal;;"Buona cucina, atmosfera unica. Pizzeria forno a legna, ristorante, cocktail, musica ed eventi, dal pranzo fino al dopocena
 
Credits Prego cafè pizza restaurant
";Viale Kennedy, 19;1;ristorante,pizzerie;https://maps.google.com/?daddr=45.633020,9.355220;Vimercate;;MB;;;"lunedì: 12.00 - 14.00
da martedì a giovedì
12.00 - 14.00  /  18.00 - 24.00
venerdì
12.00 - 14.00  /  18.00 - 2.00
sabato: 18.00 - 2.00
domenica: 18.00 - 24.00
"
57;RISTORANTE AI PORTICI;;039 2752075;info@aiporticiristorante.com;www.aiporticiristorante.com;https://www.facebook.com/Ristoranteaiportici;;"Presente nel territorio di Biassono da 19 anni, il ristorante “Ai Portici” si è sviluppato attraverso le idee dei due soci fondatori che hanno avuto esperienza ventennale di gestione di bar e cucina.
Attualmente il ristorante ”Ai Portici” si propone di dare un servizio ampio e appropriato cercando di assecondare le esigenze di tutta la clientela non trascurando però la natura tradizionale tipica del locale.

Il ristorante Ai Portici è a disposizione per regalare piacevole serenità ad ogni evento. Piccolo e grande che sia il gruppo di incontro dei clienti: battesimi, comunioni, cresime, compleanni, cene sociali e aziendali
 
 
";Viale Trento e Trieste, 15;2;ristorante,pizzerie;https://maps.google.com/?daddr=45.629819,9.272493;Biassono;;MB;;;"Pranzo: 12.00 - 14.30
Cena: 19.00 - 23.00
Chiuso domenica a pranzo e lunedì a cena
"
58;RISTORANTE ALBERGO DA ARRIGO;;0362 902960;info@ristorantedaarrigo.it;www.ristorantedaarrigo.it;;;"Oltre al menù alla carta, il ristorante è specializzato in banchetti per cerimonie (cresime, comunioni, matrimoni), pranzi aziendali e sportivi (grazie alla particolare vicinanza con il campo sportivo della Caratese). Tutte le sale della struttura sono climatizzate per garantire il massimo comfort degli ospiti.
 
Credits Ristorante Da Arrigo
";Via Comasina, 95;2;ristorante;https://maps.google.com/?daddr=45.679125,9.218928;Verano Brianza;;MB;;;
59;RISTORANTE ALBERGO FANTELLO;;039 323619;info@albergofantello.com;www.albergofantello.com;;;"Piccolo Hotel a conduzione familiare situato nel centro storico di Monza a due passi dalla Piazza del Duomo, dispone di parcheggio privato e di un ristorante che propone piatti della cucina tipica locale.
La proposta culinaria segue le stagioni alla ricerca delle migliori materie prime, dei gusti e dei sapori più autentici della nostra terra.
Compongono i nostri menù alcuni piatti tipici che sono apprezzati tutto l’anno come i risotti, la classica cotoletta alla milanese, per intenderci, quella con l’osso, ma le stagioni ci portano anche alla cassoeula, alle trippe, ai brasati, alla polenta… tutto rigorosamente preparato dallo chef.
";Via Mapelli, 7/B;1;ristorante;https://maps.google.com/?daddr=45.584725,9.275918;Monza;;MB;Parcheggio;;
60;RISTORANTE ARGENTEE;;039 6040160;info@argentee.com - argentee@tiscali.it;www.argentee.com;;;"Argentée è un ristorante aperto da poco nella zona sud-ovest di Concorezzo, piccolo comune ai confini con Monza. Questo locale è già riuscito a guadagnarsi la fiducia dei clienti, grazie ad un menu ricco di specialità della cucina nostrana tra cui primi piatti di carne e pesce, oltre all’immancabile pizza, perfetta per una cena veloce in compagnia dei propri amici o del partner.
Il Ristorante Argentée presenta piatti della tradizione nazionale, cui spiccano varie tipologie di filetti e tagliate cotte alla griglia, deliziosi piatti di pesce e una grande varietà di di pizze cotte nel forno a legna. 
";Via Monza, 27;3;ristorante;https://maps.google.com/?daddr=45.580337,9.320780;Concorezzo;20863;MB;;;"Da lunedì a venerdì:
12.00 - 14.30  /  18.00 - 00.00
Sabato: 18.00 - 00.00
Domenica: chiuso
"
61;RISTORANTE BRIANTEO;;039 6080436;ristorante@brianteo.it;www.brianteo.it;;;"Nella sala giardino, resa incantevole dal soffitto in legno e dalle ampie vetrate sul giardino, è possibile gustare direttamente dalla nostra carta piatti raffinati della cucina italiana ed internazionale in un ambiente elegante e romantico.
La cantina è ampiamente rifornita e consente una vasta scelta delle migliori etichette di vini italiani e stranieri, bianchi e rossi, dolci e secchi.
Il ristorante è aperto tutti i giorni della settimana, è però necessaria la prenotazione.
";via Martin Luther King, 3/5;1;ristorante;https://maps.google.com/?daddr=45.598125,9.380650;Burago di Molgora;20875;MB;Bar/Lounge;Catering e home catering; spazio per feste, eventi e serate a tema;
62;RISTORANTE CAMP DI CENT PERTIGH;;0362 900331;info@campdicentpertigh.it;www.campdicentpertigh.it;www.facebook.com/Ristorante-Camp-di-Cent-Pertigh-287322358034396/;;"Se cerchi un posto in Brianza affascinante, l'hai trovato: il ristorante Camp di Cent Pertigh è situato all'interno di un'incantevole e suggestiva cascina.
Il menù presenta piatti tipici alternati a creazioni interessanti. 
 
 
 
Photo credits Ristorante Camp di Cent Pertigh
";via Trento Trieste, 63;2;ristorante;https://maps.google.com/?daddr=45.683775,9.254227;Carate Brianza;20841;MB;;Take away, delivery;"Lunedì, giovedì e venerdì
10.00 - 15.00  /  18.00 - 22.00
Mercoledì 
12.00 - 15.00  /  18.00 - 22.00
Sabato e domenica
10.00 - 22.00
"
63;RISTORANTE CANOVA;;02 96461045;info@ristorantecanova.it;www.ristorantecanova.it;www.facebook.com/RistoranteCanova/;;"Il Ristorante Canova è lieto di ospitarvi per ogni occasione, proponendovi un servizio curato e personalizzato pronto a soddisfare i vostri desideri.
Gli ambienti curati e luminosi faranno da cornice ad un pranzo o cena indimenticabili, offrendovi un'ampia scelta di pietanze ricercate e rielaborate nel segno della grande tradizione culinaria Italiana.
";via S. Pellico, 69;1;ristorante;https://maps.google.com/?daddr=45.626483,9.073366;Ceriano Laghetto;20816;MB;;;"


Lunedì: 10.00 - 14.00

 



Mercoledì, giovedì e venerdì: 




10.00 - 14.00  /  18.00 - 21.30

 



Sabato e domenica: 
10.00 - 21.30



 


"
64;RISTORANTE CORTE SANTO STEFANO;;0362 570041;info@cortesantostefano.it;www.cortesantostefano.it;https://www.facebook.com/Ristorante-Corte-Santo-Stefano-1477837965832876/;;"Situato all'interno di una corte antica, nel pieno centro storico di Cesano Maderno la Corte Santo Stefano offre un alta gamma di prodotti agli amanti dell'enogastronomia italiana. Potete iniziare da una degustazione di ottimi salumi e formaggi nella splendida cantina settecentesca, scegliere se assaporare i piatti preparati dai nostri esperti Chef o gustarvi una pizza di qualità, accompagnando il tutto con un' ampia scelta di vini provenienti da tutta Italia accuratamente selezionati per la nostra cantina. Potrete concludere la serata con i dessert di pasticceria e sorseggiando un caffè.
";Piazza Monsignor Arrigoni, 6;3;ristorante;https://maps.google.com/?daddr=45.630421,9.135374;Cesano Maderno;;MB;;;"dal lunedi alla domenica
12.00 - 15.00  /  19.00 - 22.00
Martedì: chiuso
 
 
"
65;RISTORANTE DEVERO;;02 95335268;ristorante@deverohotel.it;https://www.deverohotel.it/ristorante-vicino-milano/;;;"Devero Ristorante è il luogo in cui dare spazio alla scoperta di piatti ricercati e dove la bellezza della location si unisce al gusto unico di ingredienti scelti e preparati con cura e passione dal nostro chef. La sua cucina si basa sulla qualità e sulla stagionalità dei prodotti, con una grande attenzione per le eccellenze italiane e per le materie prime.
Devero Ristorante è la location della storia culinaria di alto livello in cui anche i palati più esigenti hanno sempre trovato appagamento.
Photo credits Devero Ristorante (su Tripadvisor)
";Largo J.F. Kennedy, 1;3;ristorante;https://maps.google.com/?daddr=45.580210,9.416020;Cavenago di Brianza;20873;MB;Bar/Lounge;Location per eventi e feste;"da lunedì a sabato:
19.30 - 22.30
"
66;RISTORANTE ENOTECA MUSIC CLUB IL GUSCIO;;039 5251545;info@ilgusciodimonza.it;www.ilgusciodimonza.it;https://www.facebook.com/IlGuscioMonza/;;"
Al Guscio potrete degustare piatti della tradizione lombarda e triestina - con ingredienti rigorosamente di stagione - a base di carne, pesce e vegana.
​Il menù di pesce sarà disponibile solo nei giorni in cui verrà proposto e con prenotazione obbligatoria.
​Per chi avesse problemi di intolleranze alimentari o seguisse alimentazioni più o meno restrittive, c'è la possibilità di concordare menù personalizzati.

";Via Matteo da Campione, 8;4;ristorante,enoteche;https://maps.google.com/?daddr=45.591467,9.267917;Monza;20900;MB;;Ambiente climatizzato ;"Da martedì a domenica:
12.00 - 14.30 / 19.00 - 23.00
Chiuso il Lunedì
 
"
67;RISTORANTE GRAPPOMAGNO;;0362 590001;info@grappomagno.it;www.grappomagno.it;https://www.facebook.com/grappomagno/info/;;"- ristorante alla carta 
- degustazione vini con stuzzichini
- banchetti (battesimi - comunioni - cresime - matrimoni )
- catering, rinfreschi e compleanni
- si organizzano cene aziendali per qualsiasi esigenza,
  formulando con il cliente il menu' piu' adatto con costi a partire dai 30 euro
- capienza max circa 70-80 coperti.
 
";via Napoleone Bonaparte, 8;3;ristorante;https://maps.google.com/?daddr=45.613203,9.140482;Bovisio Masciago;;MB;;;"Aperto a pranzo e a cena
Chiuso il martedì
 
"
68;RISTORANTE HOTEL GROANE;;0362 505969;;www.hotelgroane.it;;;"Photo credits Hotel Groane
";Via Martinelli, 54;1;ristorante;https://maps.google.com/?daddr=45.632346,9.110619;Cesano Maderno;;MB;;;"dal lunedì al venerdì
12.00 - 14.00  /  19.00 - 23.00
"
69;RISTORANTE HOTEL MOLTENI;;0362 911446;info@hotelmolteni.com;;www.facebook.com/Hotel-Molteni-227664163812/?ref=page_internal;;"Trattoria con cucina tipica brianzola. Su prenotazione cucina macrobiotica e vegana. Nei giorni feriali menù a prezzo fisso.
 
Credits Hotel Molteni
";Corso Milano, 10;1;ristorante;https://maps.google.com/?daddr=45.734866,9.269892;Veduggio con Colzano;;MB;WI-FI;;"da lunedì a venerdì
6.30 - 14.00  /  17.00 - 21.00
sabato: 6.30 - 23.30
"
70;RISTORANTE IL FAUNO;;0362 545069;info@ilfauno.it;http://www.ilfauno.it/;;;"Ristorante che attinge alla grande tradizione della cucina italiana che viene proposta con un tocco di leggerezza e la massima cura nella ricerca delle materie prime,  professionalità nella elaborazione dei piatti, attenzione al meglio dell'enologia nazionale con attenzione a produttori ancora poco famosi ma di grande valore
Il Fauno è all'interno dell'Hotel Parco Borromeo, una bellissima struttura ricavata da una parte importante del seicentesco Palazzo Arese-Borromeo.
";Via Borromeo  29;1;ristorante;https://maps.google.com/?daddr=45.629098,9.146910;CESANO MADERNO;20811;MB;;;"sabato e domenica
dalle 12:00 alle 15:00
"
